Timestamp_Dly	Dom_Wind_Direction_Dly	ENV__Dur_(Hrs)_Dly	Outside_Temp_(°F)_Dly-Ave	Wind_Chill_(°F)_Dly-Ave	Heat_Index_(°F)_Dly-Ave	Dew_Point_(°F)_Dly-Ave	Outside_Humidity_(%)_Dly-Ave	Wind_Speed_(mph)_Dly-Ave	Rain_Rate_(in/hr)_Dly-Ave	Barometer_(inHg)_Dly-Ave	Solar_Radiance_(W/m2)_Dly-Ave	Gr_Roof_Temp_(°F)_Dly-Ave	Wh_Roof_Temp_(°F)_Dly-Ave	Outside_Temp_(°F)_Dly-Min	Wind_Chill_(°F)_Dly-Min	Heat_Index_(°F)_Dly-Min	Dew_Point_(°F)_Dly-Min	Outside_Humidity_(%)_Dly-Min	Wind_Speed_(mph)_Dly-Min	Rain_Rate_(in/hr)_Dly-Min	Barometer_(inHg)_Dly-Min	Solar_Radiance_(W/m2)_Dly-Min	Gr_Roof_Temp_(°F)_Dly-Min	Wh_Roof_Temp_(°F)_Dly-Min	Outside_Temp_(°F)_Dly-Max	Wind_Chill_(°F)_Dly-Max	Heat_Index_(°F)_Dly-Max	Dew_Point_(°F)_Dly-Max	Outside_Humidity_(%)_Dly-Max	Wind_Speed_(mph)_Dly-Max	Rain_Rate_(in/hr)_Dly-Max	Barometer_(inHg)_Dly-Max	Solar_Radiance_(W/m2)_Dly-Max	Gr_Roof_Temp_(°F)_Dly-Max	Wh_Roof_Temp_(°F)_Dly-Max
12:00:00.000 AM 3/1/2015		24.000079	19.106412	16.897382	18.902073	14.324784	81.493370	1.827207	0.000000	30.309125	69.653072	20.560010	22.253656	12.690161	8.036382	12.590161	7.221625	75.612326	0.000000	0.000000	30.187501	0.000000	18.219079	20.455610	25.013320	21.888690	24.709741	18.830801	88.000000	4.465863	0.000000	30.507219	251.205882	23.419321	25.748136
12:00:00.000 AM 3/2/2015		23.999898	24.844150	20.155397	24.377061	15.402426	67.889709	4.239202	0.000000	30.332540	176.392938	25.247224	27.569793	19.135944	12.513836	18.835944	12.396175	51.662745	0.000000	0.000000	30.202404	0.000000	23.475175	25.968149	31.684830	27.814371	30.784830	17.961750	85.414830	7.976939	0.000000	30.415078	638.315369	27.684374	29.623358
12:00:00.000 AM 3/3/2015		23.999979	26.221010	20.974669	26.059884	22.828378	86.953767	5.343011	0.000000	29.873138	27.322957	27.577183	29.573525	19.957315	13.068337	19.818838	14.534658	74.262425	0.702811	0.000000	29.537196	0.000000	26.880182	29.410563	34.234655	28.137228	34.134653	32.891193	95.000000	9.055777	0.000000	30.289732	118.783300	28.967780	29.764524
12:00:00.000 AM 3/5/2015		24.000421	11.812330	7.062543	11.504096	1.176272	62.181334	3.284989	0.000000	30.358492	179.801932	29.680928	29.694197	5.457570	3.658964	5.257570	-0.972672	52.444664	0.005988	0.000000	30.209878	0.000000	28.762173	29.642009	17.152174	12.485119	16.673122	2.702104	74.685259	7.004000	0.000000	30.492889	670.348515	30.594932	29.731594
12:00:00.000 AM 3/7/2015		24.000504	29.278243	25.550782	28.834287	21.037937	71.532999	4.070514	0.000000	30.009982	181.362108	28.527463	26.189050	14.929482	10.488000	14.729482	9.513622	59.652695	0.673307	0.000000	29.897808	0.000000	26.406337	24.188697	44.289222	41.432535	43.489222	31.790338	79.829317	7.331992	0.000000	30.147046	663.415822	31.732983	29.728011
12:00:00.000 AM 3/9/2015		23.999461	37.773580	36.149514	37.253544	29.265606	72.399615	2.797721	0.000000	30.099044	194.855790	31.797626	29.807313	28.640524	28.362587	28.440524	24.962522	53.154930	0.131737	0.000000	30.044044	0.000000	31.453791	29.444233	47.511268	45.752684	46.442656	32.827434	86.582661	5.350000	0.000000	30.140994	661.216700	31.945631	30.313792
12:00:00.000 AM 3/10/2015		24.000252	38.500879	37.706247	38.334059	34.665305	86.075957	1.823382	0.000000	29.980083	85.125701	31.919398	29.562075	32.453212	31.509111	32.253213	28.409085	79.935484	0.098394	0.000000	29.882796	0.000000	31.884829	29.445993	46.829234	45.436874	46.629234	40.961226	92.332016	4.169355	0.000000	30.099142	386.907258	31.943830	29.766299
12:00:00.000 AM 3/11/2015		23.998901	43.519561	41.652866	42.824757	32.630043	68.563443	3.725779	0.000000	30.123481	201.282266	31.986900	29.961613	37.306213	33.494990	37.210421	26.533862	39.458753	0.004049	0.000000	29.925966	0.000000	31.945050	28.793788	51.601002	49.712425	49.869540	37.784861	93.884000	6.553320	0.000000	30.323666	668.812749	32.080971	31.961801
12:00:00.000 AM 3/14/2015		23.999504	42.458172	38.883632	42.281273	37.786791	84.151556	6.486534	0.000000	29.863422	125.465206	32.914661	42.239945	37.734600	32.865400	37.374399	31.204046	66.488048	0.982036	0.000000	29.802185	0.000000	32.229268	30.656415	46.177091	41.560957	45.513347	41.716672	96.657371	11.501992	0.000000	29.954080	429.989940	33.958056	53.164649
12:00:00.000 AM 3/15/2015		24.002262	41.842774	39.248555	41.189668	32.448342	70.467027	4.296429	0.000000	30.071365	191.907309	36.751657	44.155665	32.267265	28.795200	32.067266	27.749486	46.929293	1.151093	0.000000	29.978902	0.000000	31.965377	27.075926	54.367071	53.816970	52.449899	38.763286	83.810000	8.832669	0.000000	30.173130	674.312127	44.116196	77.687531
12:00:00.000 AM 3/16/2015		23.999762	52.245288	51.598868	51.581486	43.009174	71.842361	3.060959	0.000000	29.796366	90.144642	48.472769	50.347979	41.518119	39.751834	41.318119	37.642429	52.878244	1.541833	0.000000	29.641508	0.000000	42.851222	35.025544	64.187400	64.169200	62.708600	49.369274	86.000000	6.029940	0.000000	29.959157	323.730924	55.306626	72.384002
12:00:00.000 AM 3/18/2015		23.998940	35.617074	32.576096	34.654084	18.945959	51.264982	4.730917	0.000000	30.184661	216.221125	36.017170	30.688785	24.175250	22.200598	23.715170	12.193586	41.003992	0.553785	0.000000	30.124575	0.000000	32.923951	5.078361	47.057315	42.958717	45.630461	24.966010	68.080160	10.166000	0.000000	30.216197	744.030000	39.482158	66.590787
12:00:00.000 AM 3/19/2015		23.999856	33.213776	32.471432	32.374547	18.361621	55.218519	1.160762	0.000000	30.216098	145.559772	37.802793	32.433596	25.237400	25.212800	24.937400	13.116990	43.986083	0.000000	0.000000	30.117137	0.000000	33.091402	10.250229	39.989960	39.550000	38.789960	20.651394	78.312000	3.664016	0.000000	30.297008	542.441352	44.029153	64.522774
12:00:00.000 AM 3/20/2015		24.000184	38.082053	37.023218	37.364534	25.984431	62.073974	2.291863	0.000000	30.019247	131.629792	41.765192	40.381188	29.913280	29.877485	29.269371	15.853233	49.751515	0.042254	0.000000	29.949225	0.000000	35.904947	26.321360	50.132200	48.541200	49.129000	35.597721	83.896000	6.930000	0.000000	30.104225	659.629779	49.296559	75.359671
12:00:00.000 AM 3/21/2015		23.999372	40.970920	38.019345	40.522503	33.009969	74.892929	4.982825	0.000000	29.969508	112.199899	43.552428	40.031295	31.844088	31.200401	31.062725	18.195073	48.318000	0.921844	0.000000	29.881455	0.000000	41.136834	19.016628	49.112775	45.982626	47.912774	38.646236	90.000000	7.764471	0.000000	30.141585	630.924303	46.537974	68.646937
